timestamp,your_value,opponent_value,win,profit,inventory_value
2025-03-22 20:34:49,2.95,3.27,0,-2.95,194.83000000000004
2025-03-22 20:36:17,3.08,3.42,0,-3.08,191.75
2025-03-22 20:37:28,4.0,4.44,0,-4.0,187.75
2025-03-22 20:39:16,0.98,1.08,1,1.08,188.83
2025-03-22 20:40:32,1.32,1.41,0,-1.32,187.51
2025-03-22 20:41:17,4.4,4.88,1,4.88,192.39
2025-03-22 20:42:05,1.81,2.0,1,2.0,194.39
2025-03-22 20:43:59,2.8,3.11,1,3.11,197.5
2025-03-22 20:46:26,0.92,1.01,0,-0.92,196.58
2025-03-22 20:47:24,1.37,1.5,0,-1.37,195.21
2025-03-22 20:48:43,2.59,2.87,0,-2.59,192.62
2025-03-22 20:49:48,1.91,2.12,0,-1.91,190.71
2025-03-22 20:52:23,1.01,1.12,1,1.12,191.83
2025-03-22 20:54:21,2.33,2.58,0,-2.33,189.5
2025-03-22 20:57:31,2.78,3.08,1,3.08,192.58
2025-03-22 21:00:19,1.71,1.89,0,-1.71,190.87
2025-03-22 21:03:52,1.71,1.88,1,1.88,192.75
2025-03-22 21:04:43,0.92,1.02,0,-0.92,191.83
2025-03-22 21:07:34,2.21,2.45,1,2.45,194.28
2025-03-22 21:08:19,3.02,3.35,0,-3.02,191.26
2025-03-22 21:09:15,1.71,1.87,1,1.87,193.13
2025-03-22 21:10:38,1.12,1.24,0,-1.12,192.01
2025-03-22 21:11:28,3.79,4.21,1,4.21,196.22
2025-03-22 21:12:14,2.32,2.57,0,-2.32,193.9
2025-03-22 21:12:51,1.67,1.83,0,-1.67,192.23
2025-03-22 21:13:36,4.14,4.59,1,4.59,196.82
2025-03-22 21:14:19,0.94,1.02,0,-0.94,195.88
2025-03-22 21:15:42,2.63,2.92,0,-2.63,193.25
2025-03-22 21:16:26,1.18,1.3,1,1.3,194.55
2025-03-22 21:17:25,2.86,3.17,0,-2.86,191.69
2025-03-22 21:18:00,0.94,1.02,0,-0.94,190.75
2025-03-22 21:19:36,3.84,4.26,0,-3.84,186.91
2025-03-22 21:20:39,0.95,1.02,1,1.02,187.93
2025-03-22 21:21:27,2.89,3.2,1,3.2,191.13
2025-03-22 21:22:13,3.39,3.76,1,3.76,194.89
2025-03-22 21:22:52,1.07,1.17,0,-1.07,193.82
2025-03-22 21:23:27,2.03,2.24,0,-2.03,191.79
2025-03-22 21:24:53,0.95,1.02,0,-0.95,190.84
2025-03-22 21:26:01,2.1,2.33,1,2.33,193.17
2025-03-22 21:26:40,1.36,1.51,1,1.51,194.68
2025-03-22 21:27:14,2.01,2.23,0,-2.01,192.67
2025-03-22 21:27:52,3.82,4.24,0,-3.82,188.85
2025-03-22 21:35:48,3.64,4.04,1,4.04,192.89
2025-03-22 21:37:07,2.76,3.06,1,3.06,195.95
2025-03-22 21:38:07,1.04,1.15,0,-1.04,194.91000000000005
2025-03-22 21:39:08,1.35,1.49,0,-1.35,193.56
2025-03-22 21:39:43,2.49,2.76,0,-2.49,191.07
2025-03-22 21:40:25,1.1,1.22,0,-1.1,189.97
2025-03-22 21:43:13,3.29,3.65,0,-3.29,186.68
2025-03-22 21:44:40,2.71,3.0,1,3.0,189.68
2025-03-22 21:46:04,3.57,3.96,0,-3.57,186.11
2025-03-22 21:47:51,4.29,4.76,1,4.76,190.87
2025-03-22 21:48:30,4.37,4.85,1,4.85,195.72
2025-03-22 21:52:31,4.08,4.53,0,-4.08,191.64
2025-03-22 21:54:01,3.35,3.72,0,-3.35,188.29
2025-03-22 21:57:01,1.93,2.09,0,-2.09,186.36
2025-03-22 21:58:12,3.97,4.4,1,4.4,190.76
2025-03-22 21:59:22,3.87,4.29,1,4.29,195.05
2025-03-22 22:00:03,2.35,2.6,1,2.6,197.65
2025-03-22 22:01:24,4.48,4.97,0,-4.48,193.17
2025-03-22 22:02:52,1.97,2.15,1,2.15,195.32
2025-03-22 22:03:34,0.93,1.02,1,1.02,196.34
2025-03-22 22:04:38,3.82,4.24,1,4.24,200.58
2025-03-22 22:05:53,1.58,1.75,0,-1.58,199.0
2025-03-22 22:06:30,2.42,2.68,0,-2.42,196.58
2025-03-22 22:07:06,3.57,3.96,0,-3.57,193.01
2025-03-22 22:07:55,1.08,1.18,0,-1.08,191.93
2025-03-22 22:09:12,2.77,3.06,1,3.06,194.99
2025-03-22 22:10:17,2.89,3.21,0,-2.89,192.1
2025-03-22 22:16:30,4.16,4.62,0,-4.16,187.94
2025-03-22 22:21:02,3.08,3.4,1,3.4,191.34
2025-03-22 22:23:12,2.89,3.21,1,3.21,194.55
2025-03-22 22:24:17,2.79,3.09,0,-2.79,191.76
2025-03-22 22:25:00,2.77,3.06,1,3.06,194.82
2025-03-22 22:26:50,2.95,3.27,1,3.27,198.09
2025-03-22 22:27:58,2.85,3.16,1,3.16,201.25
2025-03-22 22:29:22,1.85,2.04,1,2.04,203.29
2025-03-22 22:30:04,1.07,1.17,0,-1.07,202.22
2025-03-22 22:30:40,4.42,4.9,0,-4.42,197.8
2025-03-22 22:36:05,4.49,4.98,0,-4.49,193.31
2025-03-22 22:38:11,2.24,2.46,0,-2.24,192.24
2025-03-22 22:38:14,1.07,1.17,1,1.17,194.48
2025-03-22 22:39:00,4.24,4.7,1,4.7,196.94
2025-03-22 22:39:38,1.58,1.72,0,-1.58,195.36
2025-03-22 22:42:05,1.85,2.04,1,2.04,197.4
2025-03-22 22:42:44,4.29,4.76,0,-4.29,193.11
2025-03-22 22:44:23,3.81,4.23,0,-3.81,189.3
2025-03-22 22:45:59,3.21,3.55,0,-3.21,186.09
2025-03-22 22:46:58,1.99,2.14,1,2.14,188.23
2025-03-22 22:47:39,2.82,3.12,0,-2.82,185.41
2025-03-22 22:48:36,3.52,3.9,1,3.9,189.31
2025-03-22 22:55:27,3.96,4.39,0,-3.96,185.35
2025-03-22 22:56:28,1.86,2.06,0,-1.86,183.49
2025-03-22 22:57:01,1.85,2.04,0,-1.85,181.64
2025-03-22 22:58:42,2.85,3.16,0,-2.85,178.79000000000002
2025-03-22 23:00:19,4.27,4.73,1,4.73,183.52
2025-03-22 23:01:36,2.92,3.24,0,-2.92,180.6
2025-03-22 23:02:13,3.29,3.62,1,3.62,184.22
2025-03-22 23:02:51,4.43,4.92,0,-4.43,179.79000000000002
2025-03-22 23:04:12,2.19,2.4,1,2.4,182.19
2025-03-22 23:09:00,3.16,3.5,0,-3.16,179.03
2025-03-22 23:12:26,4.02,4.45,0,-4.02,175.01
2025-03-22 23:13:00,1.81,1.99,0,-1.81,173.2
2025-03-22 23:13:37,3.44,3.8,0,-3.44,169.76
2025-03-22 23:15:02,2.14,2.34,1,2.34,172.1
2025-03-22 23:16:31,2.69,2.98,0,-2.69,169.41
2025-03-22 23:17:01,2.0,2.19,0,-2.0,167.41
2025-03-22 23:17:39,3.78,4.19,0,-3.78,163.63
2025-03-22 23:19:25,3.16,3.48,1,3.48,167.11
2025-03-22 23:21:25,3.51,3.88,1,3.88,170.99
2025-03-22 23:22:54,4.22,4.67,1,4.67,175.66
2025-03-22 23:25:10,4.3,4.77,1,4.77,180.43
2025-03-22 23:25:58,3.65,4.05,0,-3.65,176.78
